date,speed
"Apr 27, 2022",5:21/km
"Jan 31, 2021",5:24/km
"Jul 14, 2022",5:26/km
"Apr 10, 2009",5:39/km
"Jun 22, 2014",5:40/km
"Aug 3, 2014",5:40/km
"Jul 31, 2020",5:43/km
"Dec 20, 2020",5:44/km
"Apr 10, 2021",5:51/km
"Jul 2, 2022",5:52/km
"Mar 29, 2018",5:54/km
"Aug 17, 2021",6:03/km
"Jul 23, 2022",6:06/km
"May 30, 2012",6:09/km
"Jul 23, 2016",6:09/km
"Jun 10, 2016",6:11/km
"Sep 29, 2021",6:13/km
"Mar 9, 2013",6:15/km
"Aug 2, 2014",6:15/km
"Jul 14, 2016",6:15/km
"May 9, 2018",6:15/km
"Jan 23, 2021",6:15/km
"Jun 5, 2022",6:16/km
"Oct 29, 2022",6:16/km
"Jan 9, 2019",6:17/km
"Mar 7, 2020",6:17/km
"Apr 2, 2020",6:17/km
"Mar 9, 2013",6:18/km
"Jun 4, 2018",6:20/km
"Aug 2, 2014",6:20/km
"Sep 24, 2021",6:20/km
"Nov 20, 2015",6:21/km
"Apr 9, 2019",6:21/km
"Sep 19, 2021",6:21/km
"Jun 1, 2022",6:21/km
"Dec 10, 2017",6:24/km
"Dec 9, 2019",6:24/km
"Mar 18, 2020",6:24/km
"Mar 12, 2017",6:25/km
"Jul 24, 2019",6:25/km
"Nov 15, 2014",6:26/km
"Aug 2, 2018",6:26/km
"Aug 4, 2018",6:27/km
"Mar 16, 2013",6:28/km
"Jun 5, 2022",6:30/km
"Jun 22, 2022",6:30/km
"Mar 16, 2016",6:32/km
"Sep 25, 2016",6:32/km
"Mar 30, 2018",6:32/km
"Jul 8, 2020",6:32/km
"Dec 17, 2020",6:32/km
"Jan 26, 2019",6:33/km
"Mar 7, 2015",6:34/km
"Nov 24, 2018",6:34/km
"Apr 14, 2013",6:35/km
"Sep 8, 2020",6:36/km
"Oct 17, 2022",6:37/km
"Dec 17, 2020",6:38/km
"Jan 10, 2021",6:38/km
"Feb 7, 2019",6:39/km
"Oct 8, 2021",6:39/km
"Sep 27, 2016",6:39/km
"Jun 12, 2019",6:40/km
"Dec 27, 2020",6:40/km
"Dec 3, 2016",6:41/km
"Jun 5, 2022",6:41/km
"Mar 5, 2016",6:41/km
"Jun 16, 2020",6:43/km
"Dec 31, 2015",6:44/km
"Jul 23, 2022",6:44/km
"May 20, 2018",6:45/km
"Mar 10, 2018",6:46/km
"Feb 13, 2020",6:46/km
"Aug 27, 2016",6:46/km
"Dec 7, 2018",6:46/km
"May 9, 2021",6:46/km
"Jul 5, 2022",6:46/km
"Apr 7, 2013",6:47/km
"Jan 27, 2019",6:47/km
"Nov 20, 2019",6:47/km
"May 1, 2012",6:48/km
"Dec 10, 2015",6:48/km
"May 8, 2016",6:48/km
"Jan 26, 2019",6:48/km
"Oct 7, 2021",6:48/km
"Aug 9, 2022",6:48/km
"Apr 8, 2022",6:49/km
"Oct 4, 2015",6:50/km
"Aug 22, 2016",6:50/km
"Feb 18, 2017",6:50/km
"May 28, 2019",6:50/km
"Jul 27, 2019",6:50/km
"Feb 27, 2020",6:50/km
"Sep 26, 2020",6:50/km
"Sep 6, 2020",6:50/km
"Aug 26, 2022",6:50/km
"Mar 7, 2015",6:51/km
"Aug 19, 2020",6:51/km
"Sep 24, 2021",6:51/km
"Oct 28, 2022",6:51/km
"Jun 5, 2020",6:52/km
"May 20, 2018",6:53/km
"Feb 13, 2020",6:53/km
"Jul 19, 2022",6:53/km
"Apr 27, 2013",6:54/km
"Aug 1, 2014",6:54/km
"Mar 9, 2013",6:54/km
"Feb 18, 2017",6:54/km
"Feb 18, 2017",6:54/km
"Sep 11, 2017",6:54/km
"Jul 24, 2022",6:54/km
"Feb 21, 2015",6:55/km
"May 20, 2021",6:55/km
"Feb 9, 2022",6:55/km
"Jul 24, 2022",6:55/km
"Jul 31, 2021",6:56/km
"May 15, 2022",6:56/km
"Aug 1, 2021",6:56/km
"Apr 10, 2022",6:56/km
"Jan 24, 2020",6:57/km
"Mar 9, 2013",6:58/km
"Feb 3, 2018",6:59/km
"May 1, 2017",7:00/km
"Jan 22, 2022",7:00/km
"Aug 13, 2022",7:00/km
"Jul 4, 2020",7:01/km
"Jun 9, 2019",7:01/km
"May 28, 2021",7:01/km
"Aug 8, 2015",7:02/km
"Mar 24, 2017",7:02/km
"May 16, 2015",7:04/km
"Nov 21, 2015",7:04/km
"Mar 8, 2014",7:05/km
"Jan 30, 2019",7:06/km
"Jul 25, 2020",7:06/km
"Jan 25, 2014",7:06/km
"Dec 4, 2016",7:06/km
"Feb 15, 2020",7:06/km
"Mar 22, 2015",7:07/km
"Jul 25, 2017",7:07/km
"Apr 16, 2021",7:07/km
"Nov 13, 2021",7:07/km
"Oct 9, 2022",7:07/km
"Mar 7, 2015",7:08/km
"Sep 12, 2017",7:08/km
"Jun 15, 2019",7:08/km
"Mar 27, 2014",7:09/km
"May 19, 2021",7:09/km
"Mar 5, 2016",7:10/km
"Jul 19, 2017",7:11/km
"Mar 7, 2020",7:11/km
"Jun 12, 2022",7:11/km
"Mar 9, 2013",7:11/km
"Nov 23, 2013",7:11/km
"Jan 25, 2015",7:11/km
"Apr 6, 2019",7:11/km
"Feb 17, 2021",7:11/km
"Nov 29, 2015",7:12/km
"Mar 23, 2017",7:12/km
"Jun 22, 2017",7:12/km
"Jan 26, 2019",7:12/km
"Jan 24, 2020",7:12/km
"Aug 8, 2016",7:13/km
"Apr 22, 2017",7:13/km
"Jul 27, 2019",7:13/km
"Jun 1, 2021",7:13/km
"Jan 23, 2016",7:14/km
"Apr 6, 2019",7:14/km
"Jul 3, 2015",7:15/km
"Dec 4, 2016",7:15/km
"Dec 22, 2012",7:16/km
"Apr 10, 2021",7:16/km
"Jan 16, 2022",7:16/km
"Feb 9, 2022",7:16/km
"Apr 3, 2022",7:16/km
"Dec 11, 2018",7:17/km
"Mar 20, 2021",7:17/km
"May 2, 2018",7:17/km
"Sep 28, 2021",7:17/km
"Jan 14, 2015",7:18/km
"Mar 20, 2016",7:18/km
"May 25, 2016",7:18/km
"May 1, 2021",7:18/km
"Jan 16, 2022",7:18/km
"Oct 7, 2021",7:19/km
"Nov 4, 2016",7:20/km
"Feb 18, 2017",7:20/km
"Jul 26, 2019",7:20/km
"Jun 24, 2015",7:21/km
"Feb 8, 2016",7:21/km
"Apr 1, 2018",7:21/km
"Jun 15, 2019",7:21/km
"Feb 15, 2020",7:21/km
"Apr 28, 2021",7:21/km
"Aug 28, 2021",7:21/km
"Jan 26, 2019",7:22/km
"May 15, 2019",7:22/km
"Jul 9, 2019",7:22/km
"Feb 7, 2020",7:22/km
"Feb 11, 2022",7:22/km
"Mar 25, 2021",7:22/km
"Jun 5, 2022",7:22/km
"Oct 8, 2018",7:22/km
"Jan 2, 2021",7:22/km
"Aug 13, 2022",7:22/km
"Oct 29, 2022",7:22/km
"Jan 25, 2014",7:23/km
"Oct 19, 2014",7:24/km
"Mar 3, 2017",7:24/km
"Jul 2, 2017",7:24/km
"Apr 7, 2019",7:24/km
"May 26, 2020",7:24/km
"Jul 13, 2022",7:24/km
"Mar 7, 2015",7:25/km
"Apr 2, 2016",7:25/km
"Jul 23, 2022",7:25/km
"Jul 15, 2018",7:26/km
"Dec 27, 2019",7:26/km
"Aug 18, 2021",7:26/km
"Jun 5, 2022",7:26/km
"Jun 24, 2018",7:27/km
"Jul 17, 2019",7:27/km
"Sep 24, 2021",7:27/km
"Jun 12, 2009",7:27/km
"Oct 31, 2013",7:27/km
"Jul 5, 2018",7:27/km
"Apr 6, 2019",7:27/km
"Apr 20, 2019",7:27/km
"Aug 24, 2021",7:27/km
"May 17, 2015",7:28/km
"Dec 23, 2020",7:28/km
"Jun 1, 2021",7:28/km
"Feb 21, 2021",7:28/km
"Nov 8, 2015",7:29/km
"Mar 7, 2020",7:29/km
"Aug 2, 2014",7:30/km
"Mar 26, 2018",7:30/km
"Mar 29, 2020",7:30/km
"May 28, 2022",7:30/km
"Jan 17, 2016",7:31/km
"May 22, 2016",7:31/km
"Sep 4, 2016",7:31/km
"Jun 12, 2021",7:31/km
"Aug 21, 2021",7:31/km
"Jul 23, 2022",7:31/km
"Jul 5, 2014",7:32/km
"Apr 10, 2019",7:32/km
"Sep 29, 2020",7:32/km
"Oct 11, 2021",7:32/km
"Sep 18, 2022",7:32/km
"May 30, 2018",7:32/km
"Nov 10, 2019",7:32/km
"Jun 15, 2020",7:32/km
"Sep 20, 2014",7:32/km
"Mar 13, 2021",7:33/km
"May 29, 2021",7:33/km
"Jul 8, 2021",7:33/km
"Mar 26, 2015",7:34/km
"Jun 13, 2016",7:34/km
"Feb 18, 2017",7:34/km
"Dec 22, 2018",7:34/km
"Aug 26, 2021",7:34/km
"Jun 5, 2022",7:34/km
"Jul 17, 2022",7:34/km
"Oct 10, 2022",7:34/km
"Mar 8, 2014",7:35/km
"May 17, 2015",7:35/km
"Dec 16, 2015",7:35/km
"Jul 4, 2018",7:35/km
"Apr 27, 2016",7:36/km
"Apr 1, 2017",7:36/km
"May 27, 2017",7:36/km
"Apr 6, 2019",7:36/km
"Jun 12, 2020",7:36/km
"Nov 12, 2021",7:36/km
"Aug 5, 2016",7:37/km
"Jan 26, 2019",7:37/km
"Nov 8, 2020",7:37/km
"Feb 6, 2021",7:37/km
"Sep 21, 2021",7:37/km
"Sep 11, 2018",7:37/km
"Jan 12, 2019",7:37/km
"Jul 27, 2019",7:37/km
"Feb 15, 2020",7:37/km
"Feb 6, 2021",7:37/km
"May 11, 2021",7:37/km
"Jun 11, 2021",7:37/km
"Apr 27, 2022",7:37/km
