Report Type : MultiStation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Burnaby Burmount,Burnaby Burmount,Burnaby Burmount,Burnaby Burmount,Burnaby Burmount,Burnaby Burmount,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Kensington Park,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby Mountain,Burnaby North Eton,Burnaby North Eton,Burnaby North Eton,Burnaby North Eton,Burnaby North Eton,Burnaby North Eton,Burnaby North Eton,Burnaby North Eton,Burnaby North Eton,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,Burnaby South,North Burnaby Capitol Hill,North Burnaby Capitol Hill,North Burnaby Capitol Hill,North Burnaby Capitol Hill,North Burnaby Capitol Hill,North Burnaby Capitol Hill,North Burnaby Capitol Hill,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Mahon Park,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,North Vancouver Second Narrows,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver International Airport #2,Vancouver Robson Square,Vancouver Robson Square,Vancouver Robson Square,Vancouver Robson Square,Vancouver Robson Square,Vancouver Robson Square
,,WSPD_SCLR,WDIR_SCLR,WSPD_VECT,WDIR_VECT,TEMP_MEAN,TRS,NOx,WSPD_SCLR,TEMP_MEAN,CO,TRS,NO,WDIR_SCLR,O3,PM25,PM10,SO2,WDIR_VECT,WSPD_VECT,NO2,NO,O3,NO2,PRECIP_TOTAL,HUMIDITY,TEMP_MEAN,WDIR_VECT,WSPD_VECT,WDIR_SCLR,WSPD_SCLR,NOx,WSPD_VECT,WDIR_SCLR,PM10,TRS,WDIR_VECT,WSPD_SCLR,PRECIP_TOTAL,TEMP_MEAN,SO2,WSPD_VECT,WDIR_SCLR,WSPD_SCLR,PM10,SO2,NOx,WDIR_VECT,TEMP_MEAN,CO,NO,NO2,PM25,PRECIP_TOTAL,O3,ATM_PRESS_1HR,HUMIDITY,WSPD_SCLR,WDIR_SCLR,WSPD_VECT,TRS,WDIR_VECT,TEMP_MEAN,SO2,CO,NO,NO2,O3,PM10,SO2,NOx,WSPD_SCLR,WDIR_SCLR,WSPD_VECT,WDIR_VECT,TEMP_MEAN,ATM_PRESS_1HR,RAD_TOTAL,PRECIP_TOTAL,PM25,CO,NO,NO2,O3,PM25,WDIR_VECT,SO2,NOx,WSPD_SCLR,WDIR_SCLR,WSPD_VECT,NOx,PM10,PRECIP_TOTAL,RAD_TOTAL,HUMIDITY,ATM_PRESS_1HR,TEMP_MEAN,WDIR_VECT,WSPD_VECT,WSPD_SCLR,WDIR_SCLR,SO2,PM25,O3,NO2,NO,CO,NO2,O3,SO2,NOx,CO,NO
,,m/s,Deg.,m/s,Deg.,°C,ppb,ppb,m/s,°C,ppm,ppb,ppb,Deg.,ppb,ug/m3,ug/m3,ppb,Deg.,m/s,ppb,ppb,ppb,ppb,mm,% RH,°C,Deg.,m/s,Deg.,m/s,ppb,m/s,Deg.,ug/m3,ppb,Deg.,m/s,mm,°C,ppb,m/s,Deg.,m/s,ug/m3,ppb,ppb,Deg.,°C,ppm,ppb,ppb,ug/m3,mm,ppb,kPa,% RH,m/s,Deg.,m/s,ppb,Deg.,°C,ppb,ppm,ppb,ppb,ppb,ug/m3,ppb,ppb,km/h,Deg.,km/h,Deg.,°C,kPa,W/M**2,mm,ug/m3,ppm,ppb,ppb,ppb,ug/m3,Deg.,ppb,ppb,m/s,Deg.,m/s,ppb,ug/m3,mm,W/M**2,% RH,kPa,°C,Deg.,m/s,m/s,Deg.,ppb,ug/m3,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppm,ppb
12/31/2020,24:00 AM,1.32,150.5,1.11,148.8,6.2,0.3,10.8,1.97,5.3,0.17,0.2,2.4,43.2,13.7,3.7,4.6,0.2,44.5,1.82,8.4,1.9,24.5,7,11,99.6,4,113.2,2.16,110.8,2.39,8.8,1.52,91.6,5.6,0.4,98.4,1.53,,5.6,0.7,2.14,157,2.3,5.5,0.1,21.2,158,5.5,0.2,5.6,15.6,3.7,7.6,11.9,99.9,99.7,1.15,90.2,1.06,0.2,89.9,3.9,0.1,0.2,2.5,8.9,15.1,,0.1,11.3,4.73,113.5,3.94,114.9,5.7,101,,9.6,3.1,0.19,4,8.5,12.4,2.8,69.6,0.2,12.5,1.69,83.8,1.56,15.7,6.3,6.8,20.9,95.2,100.9,6.5,104.7,1.78,1.9,105.1,0.1,3.4,14.1,14,1.7,0.2,21.9,3.2,0.3,36.6,0.23,14.6
1/1/2021,24:00 AM,3.58,103.4,3.35,103.1,8.6,0.2,5.7,2.85,7.7,,0.2,0.5,84.3,28,3.3,3.1,0.4,86.1,2.57,5.2,0.4,35.6,2.8,30,99.1,5.8,132,4.44,131.3,4.69,3.2,2.39,112.2,5.2,0.4,99.3,2.72,,7.7,1.4,4.05,120.2,4.35,3.6,0.1,4.7,120.1,7.6,0.13,0.2,4.5,1.5,19.6,28.9,99.2,96.9,1.37,102.4,1.09,0.2,102.9,5.8,0.1,0.17,0.2,5.5,28.5,,0.2,5.7,10.33,93.3,9.49,93.2,8.2,100.3,,35,2.3,,1,6.8,24.6,,86.2,0.2,7.9,2.71,87.7,2.43,5.4,3.9,14.4,6,87.9,100.2,8.5,113.4,4.09,4.25,112.7,0.1,1.9,30.1,5.3,0.1,0.16,15.7,17.5,0.2,17.4,0.16,1.6
1/2/2021,24:00 AM,3.48,136.4,3.25,136.1,7.8,0.2,4.8,3.99,7.7,,0.1,0.2,166.4,31.2,2.6,3.4,0.4,166.3,3.75,4.7,0,36.5,3.2,43,99.7,5.2,169.4,5.78,169.5,6.04,3.3,3.09,168.8,5.9,0.3,155.3,3.37,,8,0.1,5.33,167.1,5.53,5.4,0.1,4.8,166.8,7.3,0.13,0.3,4.5,2.1,23,30.8,98.7,97.9,1.52,164.3,0.79,0.1,163.1,6.3,0.1,0.19,0.4,7.7,28.1,,0.2,8.1,7.53,125.7,6.61,123.4,7.6,99.8,,27.2,3.4,,1.4,8.8,26.4,,139.2,0.2,10.2,3.11,138.5,2.85,3.6,5.5,12.2,4.9,87.2,99.7,8.5,145.4,5.41,5.56,144.1,0,1.9,34.2,3.6,0,0.15,11,25.5,0,12.7,0.16,1.8
1/3/2021,24:00 AM,2.94,109.5,2.74,109.5,6.4,0.2,4.8,3.04,5.5,,0.1,0.4,104.7,29,2.1,3.8,0.4,91.4,2.84,4.4,0.8,34.5,4.8,8.4,98.6,3.4,137,4.31,136.9,4.47,5.6,2.33,111.5,6.9,0.3,111.9,2.52,,6,0.2,3.57,123,3.75,6.9,0.1,7.7,123.5,5.7,0.14,0.4,7.3,2.6,6.8,26.6,99.4,97.7,1.38,111.9,1.1,0.1,112.6,3.8,0.1,0.17,0.4,7,27.3,,0.2,7.5,8,111.2,7.35,112.1,6.1,100.5,,7.2,3.8,,1,6.4,25.6,2.8,95.1,0.2,7.4,2.44,94.7,2.23,8.1,7.4,6.2,44.5,87.4,100.4,6.7,112.6,3.63,3.74,112.3,0.1,2.6,27.4,7.9,0.1,0.17,16.1,17.4,0.2,19.4,0.17,3.3
1/4/2021,24:00 AM,2.22,112.3,2.01,109,6.9,0.3,18.9,2.26,6.1,,0.2,2.6,90.1,18.5,2.3,4.4,0.2,74,1.98,16.3,1.2,29.8,10.2,21.8,98.4,4.5,138.6,3.34,138.6,3.58,11.4,2.22,146.2,6.8,0.4,115.5,2.07,,6.7,0.9,2.35,138,2.62,5.5,0.1,22,137.4,6.2,0.19,4,18,3,19.6,17.9,98.8,98.8,1.22,116.7,1.09,0.2,116.6,4.6,0.1,0.2,1.4,12.1,21.4,,0.1,13.6,6.38,105.8,5.57,105.5,6.9,99.9,,24.6,2.6,,7.8,17.8,14.8,4.5,99,0.2,25.6,1.89,99.2,1.69,24,5.5,17.6,15,92.3,99.8,6.7,137.3,2.1,2.28,135.8,0.1,1.9,16.4,19.5,4.5,0.24,20.8,13.6,0.3,28.4,0.22,7.6
1/5/2021,24:00 AM,3.83,96.4,3.65,96,6.1,0.2,9.5,3.48,5.5,,0.1,1.5,73.4,26,2.4,3.7,0.3,74,3.23,8,1.3,32.5,6.5,46.2,99.3,3.3,122.6,4.33,122,4.58,7.8,3.23,110.7,5.6,0.3,92.3,3.08,,5.7,0.7,3.55,102.6,4.18,4.7,0.1,15.6,102.8,5.3,0.15,3.4,12.2,3,44.2,22.2,99.7,97.7,1.39,86.7,1.17,0.1,86.5,3.7,0.1,0.17,0.4,6.3,27.3,,0.2,6.7,11.69,91.8,10.77,92.4,5.6,100.9,,50.4,2.1,,20.5,14.2,21.2,3.7,93.7,0.2,34.7,3.2,93.3,2.99,19.9,5.9,33.8,3.9,90.2,100.7,6.1,102,4.2,4.35,101.7,0.1,1.6,19.6,16,3.9,0.21,21.6,12.7,0.4,28.7,0.19,7.1
1/6/2021,24:00 AM,2.05,96.3,1.89,83.5,7.2,0.2,8.8,2.46,6.6,,0.1,1.4,81.7,22.2,2.7,4.1,0.3,83,2.29,7.4,1.2,32.2,5.3,0.6,94.5,4.8,127.6,3.17,126.9,3.34,6.4,1.72,132.3,7.2,0.3,126.9,1.92,,7,0.7,3.01,134.1,3.22,5.6,0.1,14.5,148.4,6.8,0.18,1.5,12.9,3.9,0.2,18.8,100,95,1.23,93.9,0.93,0.1,95.6,5,0.1,0.18,0.8,8.3,22.9,,0.2,9.1,6.8,113.7,6.04,113.5,7.1,101.1,,0,3.3,,8.6,13.7,17.2,4.3,83.9,0.2,22.3,2.12,98.2,1.88,15.5,7.4,0,58.2,84.5,101,7.9,116.7,3.07,3.23,115.8,0.1,2.8,20.3,12.3,3.1,0.21,20.5,10.7,0.3,28.1,0.19,7.6
1/7/2021,24:00 AM,1.22,85,0.89,88.4,6,0.3,16,1.77,5.3,,0.2,3.9,79.9,12.4,4.9,3.6,0.2,79.8,1.46,12.1,0.9,34.3,2.6,0,75.4,5.4,67.2,2.24,68.4,2.42,3.5,1.17,79.4,6.1,0.3,70.3,1.51,,5.7,1.8,2.46,58.3,2.71,4.7,0.1,20.2,57.3,5.6,0.2,4.9,15.3,3.6,0,11.9,100.5,84.9,1.5,82.2,1.39,0.1,82.1,4,0.1,0.22,5,10.8,13.6,,0.1,15.8,3.99,94.2,2.7,65.6,5.8,101.7,,0,3,,14.8,13.9,9.1,3.7,86,0.1,28.7,1.81,85.7,1.52,38.2,7.9,0,31.7,80.5,101.6,6,92.5,2.08,2.18,91.7,0.4,3,5,23.4,14.8,0.29,23.8,2.6,0.9,43.5,0.23,19.7
