"","week","AQHI","stationName"
"2",2017-01-01,2.68461952879348,"Burnaby Kensington Park"
"3",2017-01-08,3.19415953464902,"Burnaby Kensington Park"
"4",2017-01-15,2.27245072158637,"Burnaby Kensington Park"
"5",2017-01-22,1.83270648166259,"Burnaby Kensington Park"
"6",2017-01-29,2.60111636677947,"Burnaby Kensington Park"
"7",2017-02-05,2.80588522151597,"Burnaby Kensington Park"
"8",2017-02-12,2.15450957425222,"Burnaby Kensington Park"
"9",2017-02-19,2.04153199412977,"Burnaby Kensington Park"
"10",2017-02-26,2.52310900157341,"Burnaby Kensington Park"
"11",2017-03-05,2.35944676661328,"Burnaby Kensington Park"
"12",2017-03-12,1.95364414710727,"Burnaby Kensington Park"
"13",2017-03-19,2.33715659137013,"Burnaby Kensington Park"
"14",2017-03-26,2.26634501114667,"Burnaby Kensington Park"
"15",2017-04-02,2.42415058148428,"Burnaby Kensington Park"
"16",2017-04-09,2.32245500446198,"Burnaby Kensington Park"
"17",2017-04-16,2.29610751893319,"Burnaby Kensington Park"
"18",2017-04-23,2.12281634064745,"Burnaby Kensington Park"
"19",2017-04-30,1.91454664337093,"Burnaby Kensington Park"
"20",2017-05-07,2.23425210806122,"Burnaby Kensington Park"
"21",2017-05-14,2.10345057745118,"Burnaby Kensington Park"
"22",2017-05-21,2.56128441730428,"Burnaby Kensington Park"
"23",2017-05-28,2.30513723800412,"Burnaby Kensington Park"
"24",2017-06-04,2.41035753192346,"Burnaby Kensington Park"
"25",2017-06-11,1.84185095807542,"Burnaby Kensington Park"
"26",2017-06-18,1.86453731927961,"Burnaby Kensington Park"
"27",2017-06-25,2.50357779864778,"Burnaby Kensington Park"
"28",2017-07-02,2.53078527109215,"Burnaby Kensington Park"
"29",2017-07-09,2.17366970275086,"Burnaby Kensington Park"
"30",2017-07-16,1.87667995962574,"Burnaby Kensington Park"
"31",2017-07-23,1.84088007747195,"Burnaby Kensington Park"
"32",2017-07-30,4.02124190749139,"Burnaby Kensington Park"
"33",2017-08-06,5.01717744647986,"Burnaby Kensington Park"
"34",2017-08-13,1.87386734117312,"Burnaby Kensington Park"
"35",2017-08-20,2.29461180551337,"Burnaby Kensington Park"
"36",2017-08-27,2.66990909178178,"Burnaby Kensington Park"
"37",2017-09-03,3.18234929272211,"Burnaby Kensington Park"
"38",2017-09-10,2.14548475826115,"Burnaby Kensington Park"
"39",2017-09-17,1.92900830698802,"Burnaby Kensington Park"
"40",2017-09-24,1.77962117953976,"Burnaby Kensington Park"
"41",2017-10-01,1.85770929995922,"Burnaby Kensington Park"
"42",2017-10-08,1.55653848012719,"Burnaby Kensington Park"
"43",2017-10-15,2.07072566578936,"Burnaby Kensington Park"
"44",2017-10-22,1.71354650647637,"Burnaby Kensington Park"
"45",2017-10-29,2.14337988145715,"Burnaby Kensington Park"
"46",2017-11-05,2.25799169608512,"Burnaby Kensington Park"
"47",2017-11-12,2.01234110372078,"Burnaby Kensington Park"
"48",2017-11-19,1.88588652954337,"Burnaby Kensington Park"
"49",2017-11-26,2.00050435483273,"Burnaby Kensington Park"
"50",2017-12-03,1.71060175042023,"Burnaby Kensington Park"
"51",2017-12-10,2.16174046409635,"Burnaby Kensington Park"
"52",2017-12-17,2.16765933865191,"Burnaby Kensington Park"
"53",2017-12-24,2.60403051534505,"Burnaby Kensington Park"
"54",2018-01-07,2.1947799050299,"Burnaby Kensington Park"
"55",2018-01-14,2.20777586866309,"Burnaby Kensington Park"
"56",2018-01-21,2.34911454780134,"Burnaby Kensington Park"
"57",2018-01-28,2.03610009609807,"Burnaby Kensington Park"
"58",2018-02-04,1.81933192610893,"Burnaby Kensington Park"
"59",2018-02-11,2.266125169074,"Burnaby Kensington Park"
"60",2018-02-18,2.51882712819803,"Burnaby Kensington Park"
"61",2018-02-25,2.4017804678387,"Burnaby Kensington Park"
"62",2018-03-04,2.28584368670123,"Burnaby Kensington Park"
"63",2018-03-11,2.46739300416672,"Burnaby Kensington Park"
"64",2018-03-18,2.36348288213327,"Burnaby Kensington Park"
"65",2018-03-25,2.09315426814385,"Burnaby Kensington Park"
"66",2018-04-01,2.34382049410244,"Burnaby Kensington Park"
"67",2018-04-08,2.50206455127331,"Burnaby Kensington Park"
"68",2018-04-15,2.48182902768501,"Burnaby Kensington Park"
"69",2018-04-22,2.73796087292426,"Burnaby Kensington Park"
"70",2018-04-29,2.2754498206679,"Burnaby Kensington Park"
"71",2018-05-06,2.34716777383467,"Burnaby Kensington Park"
"72",2018-05-13,2.62374245792765,"Burnaby Kensington Park"
"73",2018-05-20,2.49380371281035,"Burnaby Kensington Park"
"74",2018-05-27,2.29316036700667,"Burnaby Kensington Park"
"75",2018-06-03,2.19475590278706,"Burnaby Kensington Park"
"76",2018-06-10,1.72394726672581,"Burnaby Kensington Park"
"77",2018-06-17,2.31757114629297,"Burnaby Kensington Park"
"78",2018-06-24,1.86435987594463,"Burnaby Kensington Park"
"79",2018-07-01,1.84027276343546,"Burnaby Kensington Park"
"80",2018-07-08,1.77864258662553,"Burnaby Kensington Park"
"81",2018-07-15,2.06076754424351,"Burnaby Kensington Park"
"82",2018-07-22,2.99530365856578,"Burnaby Kensington Park"
"83",2018-07-29,2.58314607195339,"Burnaby Kensington Park"
"84",2018-08-05,3.01245859738928,"Burnaby Kensington Park"
"85",2018-08-12,3.43530280345555,"Burnaby Kensington Park"
"86",2018-08-19,4.89482263833574,"Burnaby Kensington Park"
"87",2018-08-26,2.05540577509214,"Burnaby Kensington Park"
"88",2018-09-02,2.39656233431828,"Burnaby Kensington Park"
"89",2018-09-09,1.446274737069,"Burnaby Kensington Park"
"90",2018-09-16,1.55809105471361,"Burnaby Kensington Park"
"91",2018-09-23,1.57019816894707,"Burnaby Kensington Park"
"92",2018-09-30,1.65398193376805,"Burnaby Kensington Park"
"93",2018-10-07,1.5403516445991,"Burnaby Kensington Park"
"94",2018-10-14,2.4583637498481,"Burnaby Kensington Park"
"95",2018-10-21,2.023474644129,"Burnaby Kensington Park"
"96",2018-10-28,1.72038191417386,"Burnaby Kensington Park"
"97",2018-11-04,1.68660294222506,"Burnaby Kensington Park"
"98",2018-11-11,1.68692004225439,"Burnaby Kensington Park"
"99",2018-11-18,1.78925658181172,"Burnaby Kensington Park"
"100",2018-11-25,1.71374827373299,"Burnaby Kensington Park"
"101",2018-12-02,1.91315063041072,"Burnaby Kensington Park"
"102",2018-12-09,2.09733916470808,"Burnaby Kensington Park"
"103",2018-12-16,2.19404453016285,"Burnaby Kensington Park"
"104",2018-12-23,1.60903092569083,"Burnaby Kensington Park"
"105",2018-12-30,1.88083656277967,"Burnaby Kensington Park"
"106",2019-01-06,1.99908362233457,"Burnaby Kensington Park"
"107",2019-01-13,2.22209826847837,"Burnaby Kensington Park"
"108",2019-01-20,1.37804515473749,"Burnaby Kensington Park"
"109",2019-01-27,1.98650981083382,"Burnaby Kensington Park"
"110",2019-02-03,2.6238414731432,"Burnaby Kensington Park"
"111",2019-02-10,2.60875242888355,"Burnaby Kensington Park"
"112",2019-02-17,2.11578689893832,"Burnaby Kensington Park"
"113",2019-02-24,2.56871598128752,"Burnaby Kensington Park"
"114",2019-03-03,2.70422764914221,"Burnaby Kensington Park"
"115",2019-03-10,2.12016956347336,"Burnaby Kensington Park"
"116",2019-03-17,2.55432779696602,"Burnaby Kensington Park"
"117",2019-03-24,2.30797682731143,"Burnaby Kensington Park"
"118",2019-03-31,2.47442094377058,"Burnaby Kensington Park"
"119",2019-04-07,2.09485245398304,"Burnaby Kensington Park"
"120",2019-04-14,2.00677951835068,"Burnaby Kensington Park"
"121",2019-04-21,2.19717976335645,"Burnaby Kensington Park"
"122",2019-04-28,2.38012332916693,"Burnaby Kensington Park"
"123",2019-05-05,2.275228058499,"Burnaby Kensington Park"
"124",2019-05-12,2.12371776926839,"Burnaby Kensington Park"
"125",2019-05-19,2.1059880842411,"Burnaby Kensington Park"
"126",2019-05-26,2.5222039995811,"Burnaby Kensington Park"
"127",2019-06-02,2.07799591939202,"Burnaby Kensington Park"
"128",2019-06-09,2.11022966583541,"Burnaby Kensington Park"
"129",2019-06-16,1.81685382557756,"Burnaby Kensington Park"
"130",2019-06-23,1.87484670460974,"Burnaby Kensington Park"
"131",2019-06-30,1.75672228036736,"Burnaby Kensington Park"
"132",2019-07-07,1.53345335901547,"Burnaby Kensington Park"
