"","week","temp","stationName"
"2",2017-01-01,-1.42857142857143,"Burnaby North Eton"
"3",2017-01-08,-0.757142857142857,"Burnaby North Eton"
"4",2017-01-15,5.21428571428571,"Burnaby North Eton"
"5",2017-01-22,3.98571428571429,"Burnaby North Eton"
"6",2017-01-29,1.95714285714286,"Burnaby North Eton"
"7",2017-02-05,0.385714285714286,"Burnaby North Eton"
"8",2017-02-12,6.3,"Burnaby North Eton"
"9",2017-02-19,3.02857142857143,"Burnaby North Eton"
"10",2017-02-26,2.87142857142857,"Burnaby North Eton"
"11",2017-03-05,2.44285714285714,"Burnaby North Eton"
"12",2017-03-12,6.32857142857143,"Burnaby North Eton"
"13",2017-03-19,6.45714285714286,"Burnaby North Eton"
"14",2017-03-26,6.42857142857143,"Burnaby North Eton"
"15",2017-04-02,7.25714285714286,"Burnaby North Eton"
"16",2017-04-09,6.94285714285714,"Burnaby North Eton"
"17",2017-04-16,9.6,"Burnaby North Eton"
"18",2017-04-23,8.62857142857143,"Burnaby North Eton"
"19",2017-04-30,10.8142857142857,"Burnaby North Eton"
"20",2017-05-07,10.1857142857143,"Burnaby North Eton"
"21",2017-05-14,10.7714285714286,"Burnaby North Eton"
"22",2017-05-21,16.1,"Burnaby North Eton"
"23",2017-05-28,15.2857142857143,"Burnaby North Eton"
"24",2017-06-04,14.8,"Burnaby North Eton"
"25",2017-06-11,13.3714285714286,"Burnaby North Eton"
"26",2017-06-18,16.1714285714286,"Burnaby North Eton"
"27",2017-06-25,18.4857142857143,"Burnaby North Eton"
"28",2017-07-02,18.6571428571429,"Burnaby North Eton"
"29",2017-07-09,17.8285714285714,"Burnaby North Eton"
"30",2017-07-16,17.4,"Burnaby North Eton"
"31",2017-07-23,18.6142857142857,"Burnaby North Eton"
"32",2017-07-30,20.7571428571429,"Burnaby North Eton"
"33",2017-08-06,20.6428571428571,"Burnaby North Eton"
"34",2017-08-13,17.1285714285714,"Burnaby North Eton"
"35",2017-08-20,18.1285714285714,"Burnaby North Eton"
"36",2017-08-27,20.3285714285714,"Burnaby North Eton"
"37",2017-09-03,20.3428571428571,"Burnaby North Eton"
"38",2017-09-10,NA,"Burnaby North Eton"
"39",2017-09-17,12.6285714285714,"Burnaby North Eton"
"40",2017-09-24,15.6714285714286,"Burnaby North Eton"
