date,speed
"Dec 31, 2020",3:16/km
"Jul 13, 2020",3:32/km
"Dec 7, 2018",3:36/km
"Nov 15, 2020",3:41/km
"May 16, 2018",3:50/km
"Apr 17, 2020",3:50/km
"Jan 18, 2019",3:52/km
"Jan 21, 2019",4:01/km
"Jul 4, 2022",4:01/km
"Apr 20, 2019",4:06/km
"Mar 24, 2021",4:06/km
"May 11, 2021",4:06/km
"Nov 21, 2021",4:06/km
"Dec 2, 2020",4:08/km
"Oct 3, 2019",4:10/km
"Aug 2, 2018",4:10/km
"Jul 26, 2020",4:10/km
"Feb 17, 2018",4:12/km
"Nov 3, 2015",4:12/km
"Apr 21, 2014",4:12/km
"Mar 18, 2020",4:12/km
"Feb 25, 2022",4:12/km
"Dec 20, 2015",4:15/km
"Aug 5, 2013",4:15/km
"Jun 9, 2020",4:15/km
"Jun 17, 2020",4:15/km
"Sep 27, 2020",4:15/km
"Dec 17, 2019",4:17/km
"Jun 2, 2017",4:17/km
"Feb 6, 2016",4:17/km
"Apr 4, 2021",4:17/km
"Apr 10, 2021",4:17/km
"Apr 7, 2022",4:17/km
"Mar 4, 2020",4:19/km
"Dec 4, 2018",4:19/km
"Oct 29, 2017",4:19/km
"Jun 11, 2020",4:19/km
"Sep 28, 2020",4:19/km
"Mar 10, 2022",4:19/km
"Mar 25, 2013",4:22/km
"Mar 9, 2020",4:22/km
"Dec 23, 2021",4:22/km
"Jan 18, 2017",4:24/km
"Jun 9, 2020",4:24/km
"Oct 19, 2020",4:24/km
"Apr 29, 2021",4:24/km
"May 27, 2021",4:24/km
"Dec 11, 2018",4:26/km
"Oct 26, 2018",4:26/km
"Mar 21, 2016",4:26/km
"Apr 27, 2020",4:26/km
"Jan 25, 2022",4:26/km
"Apr 17, 2018",4:28/km
"Apr 15, 2020",4:28/km
"May 14, 2020",4:28/km
"Feb 17, 2021",4:28/km
"May 29, 2020",4:28/km
"Jun 27, 2021",4:28/km
"Jan 27, 2019",4:31/km
"Sep 16, 2017",4:31/km
"Nov 8, 2015",4:31/km
"Jun 3, 2020",4:31/km
"Jul 5, 2020",4:31/km
"Feb 8, 2021",4:31/km
"Mar 23, 2022",4:31/km
"Mar 11, 2020",4:33/km
"Dec 15, 2019",4:33/km
"Mar 3, 2019",4:33/km
"Aug 19, 2018",4:33/km
"Aug 24, 2013",4:33/km
"Mar 26, 2020",4:33/km
"Oct 31, 2020",4:33/km
"Nov 5, 2020",4:33/km
"May 16, 2022",4:33/km
"Sep 10, 2014",4:35/km
"Apr 26, 2021",4:35/km
"Aug 16, 2019",4:35/km
"Sep 13, 2018",4:37/km
"Feb 15, 2022",4:37/km
"Jul 2, 2011",4:40/km
"Jul 4, 2020",4:40/km
"Jul 15, 2021",4:40/km
"Oct 5, 2021",4:40/km
"Mar 18, 2022",4:40/km
"Apr 13, 2022",4:40/km
